file,genre,drift_frac_below_30Hz
jazz_01,jazz,0.10984843500848133
jazz_02,jazz,0.21556962500356291
jazz_03,jazz,0.09284919783055294
jazz_04,jazz,0.03169748115335459
jazz_05,jazz,0.03182450681987935
jazz_06,jazz,0.05631251493621887
jazz_07,jazz,0.05502185098062725
jazz_08,jazz,0.01612362174854781
metal_01,metal,0.05535166925337412
metal_02,metal,0.38112507372941135
metal_03,metal,0.04021294680493849
metal_04,metal,0.07065166897694354
metal_05,metal,0.02135012342500875
metal_06,metal,0.11749107584810493
metal_07,metal,0.020392395464268017
metal_08,metal,0.08613710087619034
pop_01,pop,0.12160574065655091
pop_02,pop,0.08838740125006944
pop_03,pop,0.039892758998483574
pop_04,pop,0.056706007043843425
pop_05,pop,0.05052492873684502
pop_06,pop,0.11152026042998557
pop_07,pop,0.06247114930700248
pop_08,pop,0.1505245549666543
