file,genre,n_events,rate_per_s,median_duration_ms,median_peak_ratio,envelope_median,envelope_mad,envelope_threshold
jazz_01,jazz,0,0.0,0.0,0.0,0.2116649167505738,0.06806942395667398,0.7562203084039656
jazz_02,jazz,0,0.0,0.0,0.0,0.21451048121095684,0.0583013869005455,0.6809215764153209
jazz_03,jazz,0,0.0,0.0,0.0,0.1629051280576926,0.05211620192467957,0.5798347434551292
jazz_04,jazz,48,1.5992892047978677,2.766439909297052,3.2036143209290984,0.1455152642498838,0.03721125212681474,0.44320528126440173
jazz_05,jazz,0,0.0,0.0,0.0,0.186122557082179,0.061029407751402774,0.6743578190934012
jazz_06,jazz,7,0.23322967569968903,2.2675736961451247,3.639741393527967,0.11827485001823415,0.03693837298301538,0.41378183388235723
jazz_07,jazz,0,0.0,0.0,0.0,0.14201438601969385,0.034744495392140945,0.4199703491568214
jazz_08,jazz,0,0.0,0.0,0.0,0.10693699036409514,0.03134414203776493,0.3576901266662146
metal_01,metal,0,0.0,0.0,0.0,0.21457294282053213,0.07006600967117962,0.7751010201899691
metal_02,metal,0,0.0,0.0,0.0,0.22766454621108304,0.05950810451464394,0.7037293823282346
metal_03,metal,0,0.0,0.0,0.0,0.14103477966826466,0.04804784026589391,0.5254175017954159
metal_04,metal,24,0.7999951625386997,2.1768707482993195,2.947158720621059,0.1657209189514922,0.038805945859745526,0.4761684858294564
metal_05,metal,0,0.0,0.0,0.0,0.15279488627341758,0.037774840458080994,0.45499360993806554
metal_06,metal,0,0.0,0.0,0.0,0.13067822030727932,0.03569847441204196,0.416266015603615
metal_07,metal,0,0.0,0.0,0.0,0.14225493711643475,0.037886916594672464,0.44535026987381443
metal_08,metal,0,0.0,0.0,0.0,0.16010748805180922,0.05766341288427632,0.6214147911260198
pop_01,pop,0,0.0,0.0,0.0,0.17764878549858287,0.06110581434090153,0.6664953002257952
pop_02,pop,0,0.0,0.0,0.0,0.27433221116793644,0.09108880863386283,1.003042680238839
pop_03,pop,21,0.6999957672213623,2.5396825396825395,3.4628660268918705,0.18445321122217634,0.052371724581146244,0.6034270078713463
pop_04,pop,19,0.6333295036764706,2.2222222222222223,3.25927136969552,0.13044145209749697,0.03443354462405083,0.4059098090899036
pop_05,pop,0,0.0,0.0,0.0,0.1851059610535784,0.05428332328136313,0.6193725473044834
pop_06,pop,0,0.0,0.0,0.0,0.20032869067953923,0.0733696832947821,0.787286157037796
pop_07,pop,8,0.26666505417956654,1.4058956916099774,3.1906669944157757,0.12785727058155022,0.03388609237583059,0.3989460095881949
pop_08,pop,0,0.0,0.0,0.0,0.1413949546153691,0.04432449091453933,0.4959908819316837
