experiment,mean_acc,std_acc,window_mean_acc,window_std_acc,wrong_total,total,acc_jazz,acc_metal,acc_pop
clean_fcutoff3khz_train_filtered_1st_stage_test,0.404,0.032,0.44273684210526315,0.02876285693491124,149,250,0.10714285714285714,0.9156626506024096,0.1927710843373494
clean_fcutoff3khz_train_filtered_2nd_stage_test,0.45599999999999996,0.032,0.5069473684210526,0.017957783673377796,136,250,0.25,0.27710843373493976,0.8433734939759037
