experiment,mean_acc,std_acc,window_mean_acc,window_std_acc,wrong_total,total,acc_jazz,acc_metal,acc_pop
A_v2 clean->clean,0.9640000000000001,0.014966629547095779,0.9328421052631579,0.02091957955754052,9,250,0.9880952380952381,0.963855421686747,0.9397590361445783
B_v2 noisy->noisy,0.916,0.014966629547095742,0.8629473684210527,0.02389635978722144,21,250,0.9166666666666666,0.9397590361445783,0.891566265060241
H_v2 clean->7th,0.7959999999999999,0.054258639865002144,0.6574736842105262,0.04649057927385756,51,250,0.8452380952380952,0.7831325301204819,0.7590361445783133
M_v2 noisy->7th,0.332,0.009797958971132722,0.33284210526315794,0.009210375938622058,167,250,0.7976190476190477,0.0,0.1927710843373494
