variant,lp_hz,experiment,mean_acc,std_acc,window_mean_acc,window_std_acc,wrong_total,total,acc_jazz,acc_metal,acc_pop
compmatch_bf4000,4000.0,anchor_clean->clean,0.9480000000000001,0.016000000000000014,0.9037894736842105,0.018930987070624263,13,250,0.9523809523809523,0.963855421686747,0.927710843373494
compmatch_bf4000,4000.0,cross_clean->7th,0.6600000000000001,0.0779743547584717,0.6103157894736843,0.057652699806807414,85,250,0.9166666666666666,0.5301204819277109,0.5301204819277109
compmatch_bf5500,5500.0,anchor_clean->clean,0.952,0.016000000000000014,0.9098947368421053,0.0203743361464172,12,250,0.9642857142857143,0.963855421686747,0.927710843373494
compmatch_bf5500,5500.0,cross_clean->7th,0.632,0.1177115117564973,0.5976842105263158,0.06964062876306644,92,250,0.9761904761904762,0.5421686746987951,0.37349397590361444
